Volume_id,Date_id,Date,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
V1,D1,2000-01-01,24,182,489,337,346,451,269,505,361,451,233,215,302,335,338,270,369,344,181,385,242,413,380,336,348,372,334,331,325,328,368,576,593
V2,D2,2000-02-01,55,191,463,330,339,552,282,550,420,444,262,235,270,306,299,244,350,323,188,355,235,436,421,303,389,338,326,363,346,352,374,610,463
V3,D3,2000-03-01,48,216,659,368,425,618,351,655,530,559,378,280,393,423,338,345,462,409,276,484,339,549,541,416,474,473,427,438,397,468,478,766,662
V4,D4,2000-04-01,58,214,550,359,354,589,301,589,494,424,292,230,360,295,317,281,436,335,246,425,326,501,427,338,381,361,390,415,323,479,370,645,562
V5,D5,2000-05-01,38,240,600,393,393,622,292,505,411,501,298,236,317,373,332,321,438,298,289,375,316,557,485,391,380,419,322,412,394,503,430,655,563
V6,D6,2000-06-01,60,294,615,407,440,642,312,585,467,485,365,264,319,427,371,419,531,394,306,374,327,593,524,385,469,447,357,458,423,493,466,710,541
V7,D7,2000-07-01,33,305,542,420,390,561,310,466,532,514,338,229,263,381,345,334,439,326,285,312,333,547,472,358,382,472,398,487,395,530,447,656,476
V8,D8,2000-08-01,22,240,544,387,386,616,290,439,454,474,340,222,290,324,376,355,469,372,236,294,272,537,483,345,411,463,330,431,405,350,453,648,432
V9,D9,2000-09-01,20,223,535,343,341,455,266,402,396,483,323,175,288,336,332,286,431,350,246,306,278,478,406,275,378,392,296,414,301,395,421,513,437
V10,D10,2000-10-01,19,196,475,325,316,456,258,396,422,445,315,185,227,315,309,293,389,296,201,336,274,428,389,315,404,391,267,388,347,342,366,526,457
V11,D11,2000-11-01,18,227,500,320,311,502,257,461,392,475,334,200,240,269,282,292,371,281,240,317,269,410,398,320,406,369,247,390,327,357,416,557,546
V12,D12,2000-12-01,33,285,553,380,384,485,289,524,388,473,306,243,255,308,275,321,393,309,200,333,317,431,416,282,424,428,282,406,377,429,361,615,478
V13,D13,2001-01-01,24,215,450,369,306,407,275,352,377,425,269,227,253,323,240,257,297,321,213,276,216,419,334,295,360,318,261,334,280,322,354,528,418
V14,D14,2001-02-01,37,238,388,331,297,410,210,407,354,411,267,180,222,253,272,302,274,273,212,277,227,340,352,273,345,397,261,323,270,385,332,476,367
V15,D15,2001-03-01,44,274,537,379,363,550,263,500,476,506,386,287,271,312,343,338,345,364,248,394,290,497,431,377,436,473,345,437,411,425,427,656,497
V16,D16,2001-04-01,38,241,527,328,399,547,267,501,456,466,281,262,306,340,308,377,312,357,253,335,321,459,387,355,384,434,354,383,408,392,403,649,500
V17,D17,2001-05-01,30,283,613,422,345,711,308,526,516,615,431,284,305,385,335,395,358,382,250,364,325,492,454,416,445,529,405,449,408,449,436,789,510
V18,D18,2001-06-01,36,292,659,442,425,656,352,665,594,700,474,315,357,404,408,404,460,439,293,341,405,581,504,451,562,526,467,554,460,510,513,799,516
