Date_id,Date,Detached,SemiDetached,Terraced,Flat
D1,2000-01-01,280979.8,165413.3,127833.1,115506
D2,2000-02-01,279795.9,165390.9,129708.4,118640.5
D3,2000-03-01,284608.3,168433.3,131956.5,119340.2
D4,2000-04-01,293946.1,174235.2,136658.9,126607.9
D5,2000-05-01,297670.2,176792.3,137400.8,125794.5
D6,2000-06-01,298774.2,179057.1,139575,128869.7
D7,2000-07-01,313016.9,183384.3,142701.6,130433.9
D8,2000-08-01,311885.2,184295.8,142301.7,132453.5
D9,2000-09-01,314775.3,183346.5,142656.2,132409.3
D10,2000-10-01,314817.1,184698.3,141042.2,129962.4
D11,2000-11-01,314211.3,182742,141687.3,133810
D12,2000-12-01,307561.7,182542.1,141993,133575
D13,2001-01-01,313676.8,185344.5,144786.2,134820.4
D14,2001-02-01,316858.5,187191,145438,134243.7
D15,2001-03-01,312590.3,186612.5,146148.8,136350.5
D16,2001-04-01,317567.9,187982,148476.6,137995.7
D17,2001-05-01,320126.3,192149.6,152402.1,142572.1
D18,2001-06-01,321945.9,193753.6,152837.8,144946.3
D19,2001-07-01,337102.1,199554.5,156017.7,145314.9
D20,2001-08-01,340859.5,201832.6,159357.1,149188
D21,2001-09-01,344116.2,202791.5,159497.6,149093
D22,2001-10-01,348353.5,205976.9,161134.1,149680.2
D23,2001-11-01,346500.8,206766.1,161179,151526.6
D24,2001-12-01,340664.1,205384.1,160380.9,153616.8
D25,2002-01-01,352527.8,210722.2,163445,153883.4
D26,2002-02-01,347519.8,209277.8,164720.5,154884.2
D27,2002-03-01,351801.1,211962.3,166555.3,157187.5
D28,2002-04-01,359915.9,217091.7,170602.5,163549.2
D29,2002-05-01,367527.1,223779.1,175772,166996.9
D30,2002-06-01,369726.2,224528.5,178282.5,171396.4
D31,2002-07-01,389898.5,233907.8,184737.5,173793.4
D32,2002-08-01,394661.7,239196.7,189141.6,177432.5
D33,2002-09-01,399193.6,242635.9,190416.4,178855.3
D34,2002-10-01,404694.2,246997.9,192683.2,179988
D35,2002-11-01,412507.3,248841.6,195210.9,184228.4
D36,2002-12-01,407962.8,252359.1,196414.5,184470.5
D37,2003-01-01,419137.2,254641.3,202041.2,186926.4
D38,2003-02-01,414981.7,256601.7,200114,186522.7
D39,2003-03-01,415288,255084.9,199740.4,185406.7
D40,2003-04-01,415920.7,258067.3,201119.8,188347.3
D41,2003-05-01,418968.3,261553.3,205740.5,189359.1
D42,2003-06-01,417654.8,259215.4,202891.4,188717.2
D43,2003-07-01,426441.1,266051.3,208793.7,192153.9
